time	mass.s
0	-0.1068
0.2	-0.0765
0.4	-0.0259
0.6	0.02336
0.8	0.06748
1	0.08512
1.2	0.06177
1.4	0.02037
1.6	-0.0281
1.8	-0.0614
2	-0.0570
2.2	-0.0572
2.4	-0.0101
2.6	0.02139
2.8	0.03981
3	0.06198
3.2	0.03904
3.4	0.02674
3.6	0.00491
3.8	-0.0327
4	-0.0518
4.2	-0.0103
4.4	-0.0302
4.6	-0.0032
4.8	0.01991
5	0.04048
5.2	0.01547
5.4	0.01542
5.6	-0.0031
5.8	-0.0124
6	-0.0321
6.2	-0.0247
6.4	-0.0038
6.6	0.01229
6.8	0.02050
7	0.02590
7.2	0.01246
7.4	0.01558
7.6	-0.0071
7.8	-0.0095
8	-0.0051
8.2	-0.0053
8.4	-0.0214
8.6	-0.0025
8.8	0.01157
9	0.00774
9.2	0.01940
9.4	0.00565
9.6	0.00848
9.8	-0.0105
10	-0.0274
